seed,model,malicious,dataset_len,mcc
3,LR,0,18000,0.841979946631171
3,SVM,0,18000,0.8716935344064551
3,KNN(1),0,18000,0.9497132013679331
3,KNN(3),0,18000,0.9502954037376499
3,KNN(5),0,18000,0.9499677114696673
3,KNN(7),0,18000,0.9493085742092133
3,KNN(9),0,18000,0.9476448791143761
3,DT,0,18000,0.8132796214464618
3,ANN,0,18000,0.9439023692866795
3,RF,0,18000,0.9524370310270494
3,VF(hard),0,18000,0.9456207144749831
3,VF(soft),0,18000,0.8310527750646532
3,LR,0,22200,0.8704194753320045
3,SVM,0,22200,0.8613725895682327
3,KNN(1),0,22200,0.9519257350272035
3,KNN(3),0,22200,0.9528445026876841
3,KNN(5),0,22200,0.9527361950145069
3,KNN(7),0,22200,0.9531754196766958
3,KNN(9),0,22200,0.951517918602585
3,DT,0,22200,0.8194925782378834
3,ANN,0,22200,0.9289537287900677
3,RF,0,22200,0.9556610218728169
3,VF(hard),0,22200,0.9482470274140621
3,VF(soft),0,22200,0.8874768036280821
3,LR,0,26400,0.8629466382869818
3,SVM,0,26400,0.8492423126653723
3,KNN(1),0,26400,0.9556928467599319
3,KNN(3),0,26400,0.9566105540523256
3,KNN(5),0,26400,0.9552789734600503
3,KNN(7),0,26400,0.9558297415783625
3,KNN(9),0,26400,0.9544038626592387
3,DT,0,26400,0.8298327136730194
3,ANN,0,26400,0.9493221140870064
3,RF,0,26400,0.956659006530456
3,VF(hard),0,26400,0.9500520815921095
3,VF(soft),0,26400,0.8809086351121994
3,LR,0,30600,0.809395170154015
3,SVM,0,30600,0.8447912268478559
3,KNN(1),0,30600,0.957688431469118
3,KNN(3),0,30600,0.9591541280874135
3,KNN(5),0,30600,0.9584893295876478
3,KNN(7),0,30600,0.9574920988028108
3,KNN(9),0,30600,0.9563842683642468
3,DT,0,30600,0.8365035407844671
3,ANN,0,30600,0.9584352567839803
3,RF,0,30600,0.9608793001231161
3,VF(hard),0,30600,0.9566751534402638
3,VF(soft),0,30600,0.9392240322537095
3,LR,0,34800,0.869044061361638
3,SVM,0,34800,0.8644682341213379
3,KNN(1),0,34800,0.9597926523962381
3,KNN(3),0,34800,0.9620335267610004
3,KNN(5),0,34800,0.9613682278500698
3,KNN(7),0,34800,0.9599291639371289
3,KNN(9),0,34800,0.9576022665605373
3,DT,0,34800,0.8477221013587982
3,ANN,0,34800,0.9421271533820422
3,RF,0,34800,0.9608806418894671
3,VF(hard),0,34800,0.956478976997291
3,VF(soft),0,34800,0.8365007659304734
3,LR,0,39000,0.813112459035729
3,SVM,0,39000,0.8738442238354253
3,KNN(1),0,39000,0.961237810879216
3,KNN(3),0,39000,0.9624769266550167
3,KNN(5),0,39000,0.9616979176408136
3,KNN(7),0,39000,0.9608150096513356
3,KNN(9),0,39000,0.9594817966062565
3,DT,0,39000,0.8483950433910472
3,ANN,0,39000,0.9589972785379439
3,RF,0,39000,0.9618800358887134
3,VF(hard),0,39000,0.9585700351402495
3,VF(soft),0,39000,0.874951474171484
3,LR,0,43200,0.8771035660161922
3,SVM,0,43200,0.8789041051802198
3,KNN(1),0,43200,0.9614571328484697
3,KNN(3),0,43200,0.963141258516282
3,KNN(5),0,43200,0.9615848738688308
3,KNN(7),0,43200,0.9619235399801339
3,KNN(9),0,43200,0.9600412060969812
3,DT,0,43200,0.8571764147164007
3,ANN,0,43200,0.9597830208745542
3,RF,0,43200,0.9648791846575104
3,VF(hard),0,43200,0.9632446975022617
3,VF(soft),0,43200,0.9186678281594605
3,LR,0,47400,0.8494719354343195
3,SVM,0,47400,0.8790792980775876
3,KNN(1),0,47400,0.9622318757028453
3,KNN(3),0,47400,0.9635845197103458
3,KNN(5),0,47400,0.9625846081958004
3,KNN(7),0,47400,0.961587863553581
3,KNN(9),0,47400,0.9604836844138681
3,DT,0,47400,0.8537390228984703
3,ANN,0,47400,0.9603234576444872
3,RF,0,47400,0.9635447751586043
3,VF(hard),0,47400,0.9602764304611647
3,VF(soft),0,47400,0.8655602125006198
3,LR,0,51600,0.8680949548468501
3,SVM,0,51600,0.8795697448711237
3,KNN(1),0,51600,0.9634543186415868
3,KNN(3),0,51600,0.9651338874311876
3,KNN(5),0,51600,0.9630262787774831
3,KNN(7),0,51600,0.9631386903411735
3,KNN(9),0,51600,0.9609269321287932
3,DT,0,51600,0.8580977430051012
3,ANN,0,51600,0.9578851916137943
3,RF,0,51600,0.9661019582985608
3,VF(hard),0,51600,0.9623498885087328
3,VF(soft),0,51600,0.908941165846791
3,LR,0,55800,0.8705137988449887
3,SVM,0,55800,0.8497884092706282
3,KNN(1),0,55800,0.9648942608657889
3,KNN(3),0,55800,0.9663539146373739
3,KNN(5),0,55800,0.9650214506304221
3,KNN(7),0,55800,0.9648001381321687
3,KNN(9),0,55800,0.9625900855579766
3,DT,0,55800,0.8629608089505547
3,ANN,0,55800,0.9601076893921239
3,RF,0,55800,0.9668798190138105
3,VF(hard),0,55800,0.9590408196917125
3,VF(soft),0,55800,0.9244796497804284
3,LR,0,60000,0.8813165742956409
3,SVM,0,60000,0.8488595727223832
3,KNN(1),0,60000,0.9656704848539769
3,KNN(3),0,60000,0.9672391582007852
3,KNN(5),0,60000,0.9653545070475599
3,KNN(7),0,60000,0.9660215456605357
3,KNN(9),0,60000,0.9621477773030105
3,DT,0,60000,0.8639569743065163
3,ANN,0,60000,0.9577760949780729
3,RF,0,60000,0.9653240525413708
3,VF(hard),0,60000,0.9636890744392399
3,VF(soft),0,60000,0.8982282363061441
3,LR,1,18000,0.841979946631171
3,SVM,1,18000,0.8716935344064551
3,KNN(1),1,18000,0.9497132013679331
3,KNN(3),1,18000,0.9502954037376499
3,KNN(5),1,18000,0.9499677114696673
3,KNN(7),1,18000,0.9493085742092133
3,KNN(9),1,18000,0.9476448791143761
3,DT,1,18000,0.8132796214464618
3,ANN,1,18000,0.9439023692866795
3,RF,1,18000,0.9524370310270494
3,VF(hard),1,18000,0.9456207144749831
3,VF(soft),1,18000,0.8310527750646532
3,LR,1,22200,0.8244205342463172
3,SVM,1,22200,0.8373138982735964
3,KNN(1),1,22200,0.9396887377596516
3,KNN(3),1,22200,0.9521769950824356
3,KNN(5),1,22200,0.952623673218952
3,KNN(7),1,22200,0.952731465902604
3,KNN(9),1,22200,0.9515185604568025
3,DT,1,22200,0.8030343034911457
3,ANN,1,22200,0.923782418053237
3,RF,1,22200,0.9562120989424326
3,VF(hard),1,22200,0.9500317363869799
3,VF(soft),1,22200,0.8202885737478374
3,LR,1,26400,0.8438302630543201
3,SVM,1,26400,0.8413104331596152
3,KNN(1),1,26400,0.9346850139116498
3,KNN(3),1,26400,0.9549535017337665
3,KNN(5),1,26400,0.9552795661103566
3,KNN(7),1,26400,0.9554999881629215
3,KNN(9),1,26400,0.954071505600976
3,DT,1,26400,0.8033939036382914
3,ANN,1,26400,0.921111963754689
3,RF,1,26400,0.95810433008845
3,VF(hard),1,26400,0.9479467857067424
3,VF(soft),1,26400,0.8840684630942514
3,LR,1,30600,0.7721521483908658
3,SVM,1,30600,0.8552105956816061
3,KNN(1),1,30600,0.9321241928572206
3,KNN(3),1,30600,0.9568352873864026
3,KNN(5),1,30600,0.9583817530193981
3,KNN(7),1,30600,0.957940318082696
3,KNN(9),1,30600,0.9563893622686368
3,DT,1,30600,0.8163770085750321
3,ANN,1,30600,0.9275531573771961
3,RF,1,30600,0.9591017422445678
3,VF(hard),1,30600,0.9508135722738376
3,VF(soft),1,30600,0.9129524193870858
3,LR,1,34800,0.8368175031709025
3,SVM,1,34800,0.8455322261235898
3,KNN(1),1,34800,0.9324556497046103
3,KNN(3),1,34800,0.9587139318376092
3,KNN(5),1,34800,0.9612620082657953
3,KNN(7),1,34800,0.9598212009181574
3,KNN(9),1,34800,0.9576067965175007
3,DT,1,34800,0.8217141381530707
3,ANN,1,34800,0.9238929796365998
3,RF,1,34800,0.9607698111012906
3,VF(hard),1,34800,0.9481857837967309
3,VF(soft),1,34800,0.8906725681095105
3,LR,1,39000,0.8525663568941406
3,SVM,1,39000,0.841663175793554
3,KNN(1),1,39000,0.9315710292681674
3,KNN(3),1,39000,0.9588230633013353
3,KNN(5),1,39000,0.9612592351983525
3,KNN(7),1,39000,0.9604855821110252
3,KNN(9),1,39000,0.9594853909859629
3,DT,1,39000,0.8152695736225211
3,ANN,1,39000,0.9350905079590509
3,RF,1,39000,0.9621035216435788
3,VF(hard),1,39000,0.955694298394681
3,VF(soft),1,39000,0.891663353465493
3,LR,1,43200,0.805962224989337
3,SVM,1,43200,0.8600692148726702
3,KNN(1),1,43200,0.9302343287626956
3,KNN(3),1,43200,0.9589320924061662
3,KNN(5),1,43200,0.9614751234294413
3,KNN(7),1,43200,0.962037953105334
3,KNN(9),1,43200,0.9608217289525052
3,DT,1,43200,0.8150560468275618
3,ANN,1,43200,0.9318887187608195
3,RF,1,43200,0.9642129011702812
3,VF(hard),1,43200,0.9554511527003688
3,VF(soft),1,43200,0.9067015409679118
3,LR,1,47400,0.812832359289131
3,SVM,1,47400,0.8180495066458882
3,KNN(1),1,47400,0.9296744012564485
3,KNN(3),1,47400,0.9599265440703205
3,KNN(5),1,47400,0.9622523141429209
3,KNN(7),1,47400,0.961814592000182
3,KNN(9),1,47400,0.9607083431760864
3,DT,1,47400,0.8140709181051564
3,ANN,1,47400,0.9293013116824758
3,RF,1,47400,0.9644360674931268
3,VF(hard),1,47400,0.9549026117338949
3,VF(soft),1,47400,0.9177565882025056
3,LR,1,51600,0.8269676574280017
3,SVM,1,51600,0.7127571137534042
3,KNN(1),1,51600,0.9283416394264492
3,KNN(3),1,51600,0.960250931473838
3,KNN(5),1,51600,0.9628069200890694
3,KNN(7),1,51600,0.9633613521984749
3,KNN(9),1,51600,0.9614839310796748
3,DT,1,51600,0.8120533508043378
3,ANN,1,51600,0.9289159944867464
3,RF,1,51600,0.9679908113141636
3,VF(hard),1,51600,0.9574658200661273
3,VF(soft),1,51600,0.8762807732131518
3,LR,1,55800,0.8346458355193747
3,SVM,1,55800,0.7850064202778075
3,KNN(1),1,55800,0.9293331148248365
3,KNN(3),1,55800,0.9612480036232068
3,KNN(5),1,55800,0.9648012850998171
3,KNN(7),1,55800,0.9654641715101564
3,KNN(9),1,55800,0.9628127483903096
3,DT,1,55800,0.8175016625999929
3,ANN,1,55800,0.9314424281660079
3,RF,1,55800,0.9654348752632697
3,VF(hard),1,55800,0.9559073232095372
3,VF(soft),1,55800,0.909112277649795
3,LR,1,60000,0.8321921619734658
3,SVM,1,60000,0.8421467663588873
3,KNN(1),1,60000,0.92833111775389
3,KNN(3),1,60000,0.9619126388059778
3,KNN(5),1,60000,0.9650236265888148
3,KNN(7),1,60000,0.9667977822219874
3,KNN(9),1,60000,0.9623678294763659
3,DT,1,60000,0.814506971692608
3,ANN,1,60000,0.9228353058063284
3,RF,1,60000,0.967103529895488
3,VF(hard),1,60000,0.9542590926578784
3,VF(soft),1,60000,0.8946433845402376
3,LR,2,18000,0.841979946631171
3,SVM,2,18000,0.8716935344064551
3,KNN(1),2,18000,0.9497132013679331
3,KNN(3),2,18000,0.9502954037376499
