seed,model,malicious,dataset_len,mcc
3,LR,0,18000,0.841979946631171
3,SVM,0,18000,0.8716935344064551
3,KNN(1),0,18000,0.9497132013679331
3,KNN(3),0,18000,0.9502954037376499
3,KNN(5),0,18000,0.9499677114696673
3,KNN(7),0,18000,0.9493085742092133
3,KNN(9),0,18000,0.9476448791143761
3,DT,0,18000,0.8132796214464618
3,ANN,0,18000,0.9463214222248075
3,RF,0,18000,0.9524370310270494
3,VF(hard),0,18000,0.9456207144749831
3,VF(soft),0,18000,0.8310527750646532
3,LR,0,22200,0.8704194753320045
3,SVM,0,22200,0.8613725895682327
3,KNN(1),0,22200,0.9519257350272035
3,KNN(3),0,22200,0.9528445026876841
3,KNN(5),0,22200,0.9527361950145069
3,KNN(7),0,22200,0.9531754196766958
3,KNN(9),0,22200,0.951517918602585
3,DT,0,22200,0.8194925782378834
3,ANN,0,22200,0.9377873280149758
3,RF,0,22200,0.9556610218728169
3,VF(hard),0,22200,0.9482470274140621
3,VF(soft),0,22200,0.8874768036280821
3,LR,0,26400,0.8629466382869818
3,SVM,0,26400,0.8492423126653723
3,KNN(1),0,26400,0.9556928467599319
3,KNN(3),0,26400,0.9566105540523256
3,KNN(5),0,26400,0.9552789734600503
3,KNN(7),0,26400,0.9558297415783625
3,KNN(9),0,26400,0.9544038626592387
3,DT,0,26400,0.8298327136730194
3,ANN,0,26400,0.9339891668349052
3,RF,0,26400,0.956659006530456
3,VF(hard),0,26400,0.9500520815921095
3,VF(soft),0,26400,0.8809086351121994
3,LR,0,30600,0.809395170154015
3,SVM,0,30600,0.8447912268478559
3,KNN(1),0,30600,0.957688431469118
3,KNN(3),0,30600,0.9591541280874135
3,KNN(5),0,30600,0.9584893295876478
3,KNN(7),0,30600,0.9574920988028108
3,KNN(9),0,30600,0.9563842683642468
3,DT,0,30600,0.8365035407844671
3,ANN,0,30600,0.9538975776803338
3,RF,0,30600,0.9608793001231161
3,VF(hard),0,30600,0.9566751534402638
3,VF(soft),0,30600,0.9392240322537095
3,LR,0,34800,0.869044061361638
3,SVM,0,34800,0.8644682341213379
3,KNN(1),0,34800,0.9597926523962381
3,KNN(3),0,34800,0.9620335267610004
3,KNN(5),0,34800,0.9613682278500698
3,KNN(7),0,34800,0.9599291639371289
3,KNN(9),0,34800,0.9576022665605373
3,DT,0,34800,0.8477221013587982
3,ANN,0,34800,0.9558875584187694
3,RF,0,34800,0.9608806418894671
3,VF(hard),0,34800,0.956478976997291
3,VF(soft),0,34800,0.8365007659304734
3,LR,0,39000,0.813112459035729
3,SVM,0,39000,0.8738442238354253
3,KNN(1),0,39000,0.961237810879216
3,KNN(3),0,39000,0.9624769266550167
3,KNN(5),0,39000,0.9616979176408136
3,KNN(7),0,39000,0.9608150096513356
3,KNN(9),0,39000,0.9594817966062565
3,DT,0,39000,0.8483950433910472
3,ANN,0,39000,0.954660783648534
3,RF,0,39000,0.9618800358887134
3,VF(hard),0,39000,0.9585700351402495
3,VF(soft),0,39000,0.874951474171484
3,LR,0,43200,0.8771035660161922
3,SVM,0,43200,0.8789041051802198
3,KNN(1),0,43200,0.9614571328484697
3,KNN(3),0,43200,0.963141258516282
3,KNN(5),0,43200,0.9615848738688308
3,KNN(7),0,43200,0.9619235399801339
3,KNN(9),0,43200,0.9600412060969812
3,DT,0,43200,0.8571764147164007
3,ANN,0,43200,0.9579377363016732
3,RF,0,43200,0.9648791846575104
3,VF(hard),0,43200,0.9632446975022617
3,VF(soft),0,43200,0.9186678281594605
3,LR,0,47400,0.8494719354343195
3,SVM,0,47400,0.8790792980775876
3,KNN(1),0,47400,0.9622318757028453
3,KNN(3),0,47400,0.9635845197103458
3,KNN(5),0,47400,0.9625846081958004
3,KNN(7),0,47400,0.961587863553581
3,KNN(9),0,47400,0.9604836844138681
3,DT,0,47400,0.8537390228984703
3,ANN,0,47400,0.9585588286845493
3,RF,0,47400,0.9635447751586043
3,VF(hard),0,47400,0.9602764304611647
3,VF(soft),0,47400,0.8655602125006198
3,LR,0,51600,0.8680949548468501
3,SVM,0,51600,0.8795697448711237
3,KNN(1),0,51600,0.9634543186415868
3,KNN(3),0,51600,0.9651338874311876
3,KNN(5),0,51600,0.9630262787774831
3,KNN(7),0,51600,0.9631386903411735
3,KNN(9),0,51600,0.9609269321287932
3,DT,0,51600,0.8580977430051012
3,ANN,0,51600,0.9580144785266067
3,RF,0,51600,0.9661019582985608
3,VF(hard),0,51600,0.9623498885087328
3,VF(soft),0,51600,0.908941165846791
3,LR,0,55800,0.8705137988449887
3,SVM,0,55800,0.8497884092706282
3,KNN(1),0,55800,0.9648942608657889
3,KNN(3),0,55800,0.9663539146373739
3,KNN(5),0,55800,0.9650214506304221
3,KNN(7),0,55800,0.9648001381321687
3,KNN(9),0,55800,0.9625900855579766
3,DT,0,55800,0.8629608089505547
3,ANN,0,55800,0.9627801739211457
3,RF,0,55800,0.9668798190138105
3,VF(hard),0,55800,0.9590408196917125
3,VF(soft),0,55800,0.9244796497804284
3,LR,0,60000,0.8813165742956409
3,SVM,0,60000,0.8488595727223832
3,KNN(1),0,60000,0.9656704848539769
3,KNN(3),0,60000,0.9672391582007852
3,KNN(5),0,60000,0.9653545070475599
3,KNN(7),0,60000,0.9660215456605357
3,KNN(9),0,60000,0.9621477773030105
3,DT,0,60000,0.8639569743065163
3,ANN,0,60000,0.9587751445750449
3,RF,0,60000,0.9653240525413708
3,VF(hard),0,60000,0.9636890744392399
3,VF(soft),0,60000,0.8982282363061441
3,LR,1,18000,0.841979946631171
3,SVM,1,18000,0.8716935344064551
3,KNN(1),1,18000,0.9497132013679331
3,KNN(3),1,18000,0.9502954037376499
3,KNN(5),1,18000,0.9499677114696673
3,KNN(7),1,18000,0.9493085742092133
3,KNN(9),1,18000,0.9476448791143761
3,DT,1,18000,0.8132796214464618
3,ANN,1,18000,0.9463214222248075
3,RF,1,18000,0.9524370310270494
3,VF(hard),1,18000,0.9456207144749831
3,VF(soft),1,18000,0.8310527750646532
3,LR,1,22200,0.8389975886801655
3,SVM,1,22200,0.8704271667131213
3,KNN(1),1,22200,0.9508118315172222
3,KNN(3),1,22200,0.9528409873535313
3,KNN(5),1,22200,0.9527330481521086
3,KNN(7),1,22200,0.9529506291206414
3,KNN(9),1,22200,0.9511839733960987
3,DT,1,22200,0.8156120527121246
3,ANN,1,22200,0.9405956454407272
3,RF,1,22200,0.9561040204524063
3,VF(hard),1,22200,0.9438881765925378
3,VF(soft),1,22200,0.8333350841089148
3,LR,1,26402,0.8677707823255918
3,SVM,1,26402,0.8669760539767432
3,KNN(1),1,26402,0.9546913915281637
3,KNN(3),1,26402,0.9570535703456765
3,KNN(5),1,26402,0.9557252761533207
3,KNN(7),1,26402,0.9559399973025928
3,KNN(9),1,26402,0.9536267773780827
3,DT,1,26402,0.8317312683218232
3,ANN,1,26402,0.9517795775920853
3,RF,1,26402,0.9597699758292405
3,VF(hard),1,26402,0.9526004200447971
3,VF(soft),1,26402,0.8868946367929731
3,LR,1,30604,0.8642730474658076
3,SVM,1,30604,0.8573126312400002
3,KNN(1),1,30604,0.9571292317851295
3,KNN(3),1,30604,0.9595970874743971
3,KNN(5),1,30604,0.9592700983609079
3,KNN(7),1,30604,0.9579361411409322
3,KNN(9),1,30604,0.9562730588126798
3,DT,1,30604,0.8411817110060646
3,ANN,1,30604,0.9442270607890567
3,RF,1,30604,0.9595498778514762
3,VF(hard),1,30604,0.9578117008119829
3,VF(soft),1,30604,0.8708992291796629
3,LR,1,34806,0.8477776130462745
3,SVM,1,34806,0.8702926046188155
3,KNN(1),1,34806,0.9590151366176878
3,KNN(3),1,34806,0.9618124018288974
3,KNN(5),1,34806,0.9612596982095758
3,KNN(7),1,34806,0.960040993628343
3,KNN(9),1,34806,0.9577120924836092
3,DT,1,34806,0.8411690238800031
3,ANN,1,34806,0.9532183447552964
3,RF,1,34806,0.9615464244501685
3,VF(hard),1,34806,0.9538622659923117
3,VF(soft),1,34806,0.81535258913422
3,LR,1,39006,0.8495850410174203
3,SVM,1,39006,0.8665180908237687
3,KNN(1),1,39006,0.9600137373798528
3,KNN(3),1,39006,0.9627012475510666
3,KNN(5),1,39006,0.9611421163269076
3,KNN(7),1,39006,0.9603744707270497
3,KNN(9),1,39006,0.9585957057786898
3,DT,1,39006,0.8408495138542673
3,ANN,1,39006,0.9560048149729931
3,RF,1,39006,0.9627677696660514
3,VF(hard),1,39006,0.9591472435595177
3,VF(soft),1,39006,0.8669154343891933
3,LR,1,43207,0.863008455457165
3,SVM,1,43207,0.865430328787963
3,KNN(1),1,43207,0.9605685692202576
3,KNN(3),1,43207,0.9628085890630357
3,KNN(5),1,43207,0.9621393523340688
3,KNN(7),1,43207,0.9615913041123803
3,KNN(9),1,43207,0.9597121043241225
3,DT,1,43207,0.8500795155122648
3,ANN,1,43207,0.9573245755374608
3,RF,1,43207,0.9643251845140344
3,VF(hard),1,43207,0.9596755527083509
3,VF(soft),1,43207,0.9095587061611041
3,LR,1,47408,0.85798524248927
3,SVM,1,47408,0.8525944265216849
3,KNN(1),1,47408,0.9611204325920624
3,KNN(3),1,47408,0.9631412795254924
3,KNN(5),1,47408,0.9622498706899533
3,KNN(7),1,47408,0.9623655284544311
3,KNN(9),1,47408,0.9608180358165346
3,DT,1,47408,0.8561887793361673
3,ANN,1,47408,0.9574348987536775
3,RF,1,47408,0.9641015555956801
3,VF(hard),1,47408,0.960475521795349
3,VF(soft),1,47408,0.8470783062559343
3,LR,1,51609,0.86003330781309
3,SVM,1,51609,0.8304501255874058
3,KNN(1),1,51609,0.9628959024553083
3,KNN(3),1,51609,0.9646888385691174
3,KNN(5),1,51609,0.9633583114830695
3,KNN(7),1,51609,0.9639152709601021
3,KNN(9),1,51609,0.9615888129635879
3,DT,1,51609,0.8590634254736722
3,ANN,1,51609,0.9560141632151687
3,RF,1,51609,0.9647680786206652
3,VF(hard),1,51609,0.9622535104464158
3,VF(soft),1,51609,0.9426314716229294
3,LR,1,55809,0.8521167237794438
3,SVM,1,55809,0.868115967787191
3,KNN(1),1,55809,0.9636714728905506
3,KNN(3),1,55809,0.9655759869840572
3,KNN(5),1,55809,0.9645778712805109
3,KNN(7),1,55809,0.9654663867769554
3,KNN(9),1,55809,0.9625881423082856
3,DT,1,55809,0.8597437775178431
3,ANN,1,55809,0.953018650589655
3,RF,1,55809,0.9645447421762432
3,VF(hard),1,55809,0.9639100213742848
3,VF(soft),1,55809,0.9062198954636523
3,LR,1,60000,0.8575359998209255
3,SVM,1,60000,0.8548416642679629
3,KNN(1),1,60000,0.9643361633089023
3,KNN(3),1,60000,0.9672388188925203
3,KNN(5),1,60000,0.9654657099397015
3,KNN(7),1,60000,0.9663546859366341
3,KNN(9),1,60000,0.9621477773030105
3,DT,1,60000,0.8641870253540777
3,ANN,1,60000,0.9552192887661209
3,RF,1,60000,0.9656580121497899
3,VF(hard),1,60000,0.9614881686297019
3,VF(soft),1,60000,0.9014580000879662
3,LR,2,18000,0.841979946631171
3,SVM,2,18000,0.8716935344064551
3,KNN(1),2,18000,0.9497132013679331
3,KNN(3),2,18000,0.9502954037376499
