seed,model,malicious,dataset_len,mcc
3,LR,0,18000,0.841979946631171
3,SVM,0,18000,0.8716935344064551
3,KNN(1),0,18000,0.9497132013679331
3,KNN(3),0,18000,0.9502954037376499
3,KNN(5),0,18000,0.9499677114696673
3,KNN(7),0,18000,0.9493085742092133
3,KNN(9),0,18000,0.9476448791143761
3,DT,0,18000,0.8132796214464618
3,ANN,0,18000,0.9463214222248075
3,RF,0,18000,0.9524370310270494
3,VF(hard),0,18000,0.9456207144749831
3,VF(soft),0,18000,0.8310527750646532
3,LR,0,22200,0.8704194753320045
3,SVM,0,22200,0.8613725895682327
3,KNN(1),0,22200,0.9519257350272035
3,KNN(3),0,22200,0.9528445026876841
3,KNN(5),0,22200,0.9527361950145069
3,KNN(7),0,22200,0.9531754196766958
3,KNN(9),0,22200,0.951517918602585
3,DT,0,22200,0.8194925782378834
3,ANN,0,22200,0.9377873280149758
3,RF,0,22200,0.9556610218728169
3,VF(hard),0,22200,0.9482470274140621
3,VF(soft),0,22200,0.8874768036280821
3,LR,0,26400,0.8629466382869818
3,SVM,0,26400,0.8492423126653723
3,KNN(1),0,26400,0.9556928467599319
3,KNN(3),0,26400,0.9566105540523256
3,KNN(5),0,26400,0.9552789734600503
3,KNN(7),0,26400,0.9558297415783625
3,KNN(9),0,26400,0.9544038626592387
3,DT,0,26400,0.8298327136730194
3,ANN,0,26400,0.9339891668349052
3,RF,0,26400,0.956659006530456
3,VF(hard),0,26400,0.9500520815921095
3,VF(soft),0,26400,0.8809086351121994
3,LR,0,30600,0.809395170154015
3,SVM,0,30600,0.8447912268478559
3,KNN(1),0,30600,0.957688431469118
3,KNN(3),0,30600,0.9591541280874135
3,KNN(5),0,30600,0.9584893295876478
3,KNN(7),0,30600,0.9574920988028108
3,KNN(9),0,30600,0.9563842683642468
3,DT,0,30600,0.8365035407844671
3,ANN,0,30600,0.9538975776803338
3,RF,0,30600,0.9608793001231161
3,VF(hard),0,30600,0.9566751534402638
3,VF(soft),0,30600,0.9392240322537095
3,LR,0,34800,0.869044061361638
3,SVM,0,34800,0.8644682341213379
3,KNN(1),0,34800,0.9597926523962381
3,KNN(3),0,34800,0.9620335267610004
3,KNN(5),0,34800,0.9613682278500698
3,KNN(7),0,34800,0.9599291639371289
3,KNN(9),0,34800,0.9576022665605373
3,DT,0,34800,0.8477221013587982
3,ANN,0,34800,0.9558875584187694
3,RF,0,34800,0.9608806418894671
3,VF(hard),0,34800,0.956478976997291
3,VF(soft),0,34800,0.8365007659304734
3,LR,0,39000,0.813112459035729
3,SVM,0,39000,0.8738442238354253
3,KNN(1),0,39000,0.961237810879216
3,KNN(3),0,39000,0.9624769266550167
3,KNN(5),0,39000,0.9616979176408136
3,KNN(7),0,39000,0.9608150096513356
3,KNN(9),0,39000,0.9594817966062565
3,DT,0,39000,0.8483950433910472
3,ANN,0,39000,0.954660783648534
3,RF,0,39000,0.9618800358887134
3,VF(hard),0,39000,0.9585700351402495
3,VF(soft),0,39000,0.874951474171484
3,LR,0,43200,0.8771035660161922
3,SVM,0,43200,0.8789041051802198
3,KNN(1),0,43200,0.9614571328484697
3,KNN(3),0,43200,0.963141258516282
3,KNN(5),0,43200,0.9615848738688308
3,KNN(7),0,43200,0.9619235399801339
3,KNN(9),0,43200,0.9600412060969812
3,DT,0,43200,0.8571764147164007
3,ANN,0,43200,0.9579377363016732
3,RF,0,43200,0.9648791846575104
3,VF(hard),0,43200,0.9632446975022617
3,VF(soft),0,43200,0.9186678281594605
3,LR,0,47400,0.8494719354343195
3,SVM,0,47400,0.8790792980775876
3,KNN(1),0,47400,0.9622318757028453
3,KNN(3),0,47400,0.9635845197103458
3,KNN(5),0,47400,0.9625846081958004
3,KNN(7),0,47400,0.961587863553581
3,KNN(9),0,47400,0.9604836844138681
3,DT,0,47400,0.8537390228984703
3,ANN,0,47400,0.9585588286845493
3,RF,0,47400,0.9635447751586043
3,VF(hard),0,47400,0.9602764304611647
3,VF(soft),0,47400,0.8655602125006198
3,LR,0,51600,0.8680949548468501
3,SVM,0,51600,0.8795697448711237
3,KNN(1),0,51600,0.9634543186415868
3,KNN(3),0,51600,0.9651338874311876
3,KNN(5),0,51600,0.9630262787774831
3,KNN(7),0,51600,0.9631386903411735
3,KNN(9),0,51600,0.9609269321287932
3,DT,0,51600,0.8580977430051012
3,ANN,0,51600,0.9580144785266067
3,RF,0,51600,0.9661019582985608
3,VF(hard),0,51600,0.9623498885087328
3,VF(soft),0,51600,0.908941165846791
3,LR,0,55800,0.8705137988449887
3,SVM,0,55800,0.8497884092706282
3,KNN(1),0,55800,0.9648942608657889
3,KNN(3),0,55800,0.9663539146373739
3,KNN(5),0,55800,0.9650214506304221
3,KNN(7),0,55800,0.9648001381321687
3,KNN(9),0,55800,0.9625900855579766
3,DT,0,55800,0.8629608089505547
3,ANN,0,55800,0.9627801739211457
3,RF,0,55800,0.9668798190138105
3,VF(hard),0,55800,0.9590408196917125
3,VF(soft),0,55800,0.9244796497804284
3,LR,0,60000,0.8813165742956409
3,SVM,0,60000,0.8488595727223832
3,KNN(1),0,60000,0.9656704848539769
3,KNN(3),0,60000,0.9672391582007852
3,KNN(5),0,60000,0.9653545070475599
3,KNN(7),0,60000,0.9660215456605357
3,KNN(9),0,60000,0.9621477773030105
3,DT,0,60000,0.8639569743065163
3,ANN,0,60000,0.9587751445750449
3,RF,0,60000,0.9653240525413708
3,VF(hard),0,60000,0.9636890744392399
3,VF(soft),0,60000,0.8982282363061441
3,LR,1,18000,0.841979946631171
3,SVM,1,18000,0.8716935344064551
3,KNN(1),1,18000,0.9497132013679331
3,KNN(3),1,18000,0.9502954037376499
3,KNN(5),1,18000,0.9499677114696673
3,KNN(7),1,18000,0.9493085742092133
3,KNN(9),1,18000,0.9476448791143761
3,DT,1,18000,0.8132796214464618
3,ANN,1,18000,0.9463214222248075
3,RF,1,18000,0.9524370310270494
3,VF(hard),1,18000,0.9456207144749831
3,VF(soft),1,18000,0.8310527750646532
3,LR,1,22200,0.8271349280239647
3,SVM,1,22200,0.8331501364082058
3,KNN(1),1,22200,0.9396799391927327
3,KNN(3),1,22200,0.9521742717488492
3,KNN(5),1,22200,0.9525133900836863
3,KNN(7),1,22200,0.9526186637300115
3,KNN(9),1,22200,0.9512949099071276
3,DT,1,22200,0.8026150467677741
3,ANN,1,22200,0.9191167187634195
3,RF,1,22200,0.9566566134078225
3,VF(hard),1,22200,0.9447192793084757
3,VF(soft),1,22200,0.7561275992350197
3,LR,1,26400,0.8477079924269978
3,SVM,1,26400,0.8389830452357473
3,KNN(1),1,26400,0.9347833328852297
3,KNN(3),1,26400,0.9546168517149417
3,KNN(5),1,26400,0.9551663824175781
3,KNN(7),1,26400,0.9551649921470848
3,KNN(9),1,26400,0.9535155498400213
3,DT,1,26400,0.8051615911113998
3,ANN,1,26400,0.9294482377863378
3,RF,1,26400,0.9574357871595094
3,VF(hard),1,26400,0.95017960013204
3,VF(soft),1,26400,0.8716670247270256
3,LR,1,30600,0.843181905332606
3,SVM,1,30600,0.8425900907938948
3,KNN(1),1,30600,0.9322341841836025
3,KNN(3),1,30600,0.9564997538606783
3,KNN(5),1,30600,0.9582689575790021
3,KNN(7),1,30600,0.9572726308426391
3,KNN(9),1,30600,0.9558338711416193
3,DT,1,30600,0.8059392651614379
3,ANN,1,30600,0.921901031412698
3,RF,1,30600,0.9608799092067416
3,VF(hard),1,30600,0.9530276421826115
3,VF(soft),1,30600,0.8954761848844262
3,LR,1,34800,0.7940940577029003
3,SVM,1,34800,0.8522271969662778
3,KNN(1),1,34800,0.9325657697982855
3,KNN(3),1,34800,0.958488558185844
3,KNN(5),1,34800,0.9609272273967113
3,KNN(7),1,34800,0.9593756270211016
3,KNN(9),1,34800,0.957050852133493
3,DT,1,34800,0.8138655912535572
3,ANN,1,34800,0.9168183173849197
3,RF,1,34800,0.9608791140750955
3,VF(hard),1,34800,0.9482756447604345
3,VF(soft),1,34800,0.8513093430364644
3,LR,1,39000,0.8181219335883264
3,SVM,1,39000,0.8578976113467832
3,KNN(1),1,39000,0.9316864053060053
3,KNN(3),1,39000,0.958154775505361
3,KNN(5),1,39000,0.9609245482728559
3,KNN(7),1,39000,0.9600403222382449
3,KNN(9),1,39000,0.9588174782877025
3,DT,1,39000,0.813522371912692
3,ANN,1,39000,0.9272319817157799
3,RF,1,39000,0.962435074199071
3,VF(hard),1,39000,0.9500375212240998
3,VF(soft),1,39000,0.8581124109115257
3,LR,1,43200,0.7983947343340204
3,SVM,1,43200,0.8376865197241398
3,KNN(1),1,43200,0.9303496153313363
3,KNN(3),1,43200,0.9581505567242847
3,KNN(5),1,43200,0.9609202623376399
3,KNN(7),1,43200,0.9615924662097157
3,KNN(9),1,43200,0.9603771401502288
3,DT,1,43200,0.8119782302251585
3,ANN,1,43200,0.9251303927557877
3,RF,1,43200,0.9632122549026793
3,VF(hard),1,43200,0.950565567713808
3,VF(soft),1,43200,0.8214729900197049
3,LR,1,47400,0.8139290378758658
3,SVM,1,47400,0.810499221210276
3,KNN(1),1,47400,0.9296827797539967
3,KNN(3),1,47400,0.9595886487245682
3,KNN(5),1,47400,0.9620315479459196
3,KNN(7),1,47400,0.961590674129118
3,KNN(9),1,47400,0.9601541349590914
3,DT,1,47400,0.8127355201093256
3,ANN,1,47400,0.9210089575071556
3,RF,1,47400,0.9638801336896827
3,VF(hard),1,47400,0.9536842114961104
3,VF(soft),1,47400,0.8483683175543922
3,LR,1,51600,0.8034799663949896
3,SVM,1,51600,0.8205787785120946
3,KNN(1),1,51600,0.9285810349160007
3,KNN(3),1,51600,0.9600233333786304
3,KNN(5),1,51600,0.9620320367624439
3,KNN(7),1,51600,0.9631387355330403
3,KNN(9),1,51600,0.961041270644947
3,DT,1,51600,0.8168479789260294
3,ANN,1,51600,0.9275411427467516
3,RF,1,51600,0.9656569603094841
3,VF(hard),1,51600,0.9497899002874639
3,VF(soft),1,51600,0.805681634270893
3,LR,1,55800,0.8223084599540202
3,SVM,1,55800,0.8349969840376532
3,KNN(1),1,55800,0.929463150306754
3,KNN(3),1,55800,0.9607995345415962
3,KNN(5),1,55800,0.9638039018316987
3,KNN(7),1,55800,0.9649098039038024
3,KNN(9),1,55800,0.9624805515433134
3,DT,1,55800,0.8176389152023248
3,ANN,1,55800,0.9248130187409118
3,RF,1,55800,0.9649905245477705
3,VF(hard),1,55800,0.9499672938158553
3,VF(soft),1,55800,0.8823162940432016
3,LR,1,60000,0.8159868303696952
3,SVM,1,60000,0.8615235192085969
3,KNN(1),1,60000,0.9284626369711709
3,KNN(3),1,60000,0.9612410465268045
3,KNN(5),1,60000,0.9641358734290664
3,KNN(7),1,60000,0.96613243227088
3,KNN(9),1,60000,0.9620363864633136
3,DT,1,60000,0.8195234965116456
3,ANN,1,60000,0.9288868992441753
3,RF,1,60000,0.9661019914826727
3,VF(hard),1,60000,0.9527479830396309
3,VF(soft),1,60000,0.8934469623762089
3,LR,2,18000,0.841979946631171
3,SVM,2,18000,0.8716935344064551
3,KNN(1),2,18000,0.9497132013679331
3,KNN(3),2,18000,0.9502954037376499
